Player,Shooting,Speed,Physical,Vision,Dribbling,Passing,Position_Style,Nearest_Player_1,Nearest_Player_2,Cluster
Yoichi Isagi,82,76,70,94,78,85,Playmaker,Reo Mikage,Tabito Karasu,0
Meguru Bachira,75,84,68,85,95,88,Playmaker,Alexis Ness,Sae Itoshi,0
Rensuke Kunigami,88,80,92,70,72,68,Target Man,Shoei Barou,Gin Gagamaru,1
Hyoma Chigiri,78,99,70,72,85,75,Speedster,Eita Otoya,Kenyu Yukimiya,2
Seishiro Nagi,92,78,75,80,88,72,Pure Striker,Michael Kaiser,Kenyu Yukimiya,0
Rin Itoshi,89,83,81,95,86,89,Pure Striker,Marc Snuffy,Michael Kaiser,0
Shoei Barou,90,82,91,70,80,60,Pure Striker,Rensuke Kunigami,Kenyu Yukimiya,1
Reo Mikage,80,82,80,88,82,85,Playmaker,Tabito Karasu,Rin Itoshi,0
Gin Gagamaru,68,75,85,65,60,62,Target Man,Jingo Raichi,Oliver Aiku,1
Jingo Raichi,65,81,90,60,62,65,Target Man,Gin Gagamaru,Oliver Aiku,1
Oliver Aiku,55,78,88,82,65,70,Target Man,Gin Gagamaru,Jingo Raichi,1
Sae Itoshi,85,84,72,98,94,96,Playmaker,Rin Itoshi,Meguru Bachira,0
Michael Kaiser,96,85,82,91,87,80,Pure Striker,Rin Itoshi,Reo Mikage,0
Alexis Ness,70,79,68,86,89,92,Playmaker,Meguru Bachira,Yoichi Isagi,0
Tabito Karasu,76,80,83,90,84,86,Playmaker,Reo Mikage,Rin Itoshi,0
Eita Otoya,81,92,72,78,80,74,Speedster,Hyoma Chigiri,Kenyu Yukimiya,2
Kenyu Yukimiya,82,88,78,75,91,72,Speedster,Eita Otoya,Seishiro Nagi,2
Julian Loki,88,99,80,85,90,82,Speedster,Eita Otoya,Hyoma Chigiri,2
Marc Snuffy,86,80,88,97,88,94,Playmaker,Rin Itoshi,Tabito Karasu,0
Chris Prince,93,90,96,84,85,78,Pure Striker,Michael Kaiser,Julian Loki,2
