Player,Shooting,Speed,Physical,Vision,Dribbling,Passing,Position_Style
Yoichi Isagi,82,76,70,94,78,85,Playmaker
Meguru Bachira,75,84,68,85,95,88,Playmaker
Rensuke Kunigami,88,80,92,70,72,68,Target Man
Hyoma Chigiri,78,99,70,72,85,75,Speedster
Seishiro Nagi,92,78,75,80,88,72,Pure Striker
Rin Itoshi,89,83,81,95,86,89,Pure Striker
Shoei Barou,90,82,91,70,80,60,Pure Striker
Reo Mikage,80,82,80,88,82,85,Playmaker
Gin Gagamaru,68,75,85,65,60,62,Target Man
Jingo Raichi,65,81,90,60,62,65,Target Man
Oliver Aiku,55,78,88,82,65,70,Target Man
Sae Itoshi,85,84,72,98,94,96,Playmaker
Michael Kaiser,96,85,82,91,87,80,Pure Striker
Alexis Ness,70,79,68,86,89,92,Playmaker
Tabito Karasu,76,80,83,90,84,86,Playmaker
Eita Otoya,81,92,72,78,80,74,Speedster
Kenyu Yukimiya,82,88,78,75,91,72,Speedster
Julian Loki,88,99,80,85,90,82,Speedster
Marc Snuffy,86,80,88,97,88,94,Playmaker
Chris Prince,93,90,96,84,85,78,Pure Striker
